,artist,song,lyrics
0,Bob Dylan,Murder Most Foul,"[Verse 1]
It was a dark day in Dallas, November '63
A day that will live on in infamy
President Kennedy was a-ridin' high
Good day to be livin' and a good day to die
Being led to the slaughter like a sacrificial lamb
He said, ""Wait a minute, boys, you know who I am?""
""Of course we do, we know who you are""
Then they blew off his head while he was still in the car
Shot down like a dog in broad daylight
Was a matter of timing and the timing was right
You got unpaid debts, we've come to collect
We're gonna kill you with hatred, without any respect
We'll mock you and shock you and we'll put it in your face
We've already got someone here to take your place
The day they blew out the brains of the king
Thousands were watching, no one saw a thing
It happened so quickly, so quick, by surprise
Right there in front of everyone's eyes
Greatest magic trick ever under the sun
Perfectly executed, skillfully done
Wolfman, oh Wolfman, oh Wolfman, howl
Rub-a-dub-dub, it's a murder most foul

[Verse 2]
Hush, little children, you'll understand
The Beatles are comin', they're gonna hold your hand
Slide down the banister, go get your coat
Ferry 'cross the Mersey and go for the throat
There's three bums comin' all dressed in rags
Pick up the pieces and lower the flags
I'm goin' to Woodstock, it's the Aquarian Age
Then I'll go over to Altamont and sit near the stage
Put your head out the window, let the good times roll
There's a party going on behind the Grassy Knoll
Stack up the bricks, pour the cement
Don't say Dallas don't love you, Mr. President
Put your foot in the tank and then step on the gas
Try to make it to the triple underpass
Blackface singer, whiteface clown
Better not show your faces after the sun goes down
Up in the red light district, they've got cop on the beat
Living in a nightmare on Elm Street
When you're down on Deep Ellum, put your money in your shoe
Don't ask what your country can do for you
Cash on the barrelhead, money to burn
Dealey Plaza, make a left-hand turn
I'm going down to the crossroads, gonna flag a ride
The place where faith, hope, and charity died
Shoot him while he runs, boy, shoot him while you can
See if you can shoot the invisible man
Goodbye, Charlie, goodbye, Uncle Sam
Frankly, Miss Scarlett, I don't give a damn
What is the truth, and where did it go?
Ask Oswald and Ruby, they oughta know
""Shut your mouth,"" said a wise old owl
Business is business, and it's a murder most foul

[Verse 3]
Tommy, can you hear me? I'm the Acid Queen
I'm riding in a long, black Lincoln limousine
Ridin' in the back seat next to my wife
Headed straight on in to the afterlife
I'm leaning to the left, I got my head in her lap
Hold on, I've been led into some kind of a trap
Where we ask no quarter, and no quarter do we give
We're right down the street, from the street where you live
They mutilated his body and they took out his brain
What more could they do? They piled on the pain
But his soul was not there where it was supposed to be at
For the last fifty years they've been searchin' for that
Freedom, oh freedom, freedom over me
I hate to tell you, mister, but only dead men are free
Send me some lovin', then tell me no lie
Throw the gun in the gutter and walk on by
Wake up, little Susie, let's go for a drive
Cross the Trinity River, let's keep hope alive
Turn the radio on, don't touch the dials
Parkland Hospital, only six more miles
You got me dizzy, Miss Lizzy, you filled me with lead
That magic bullet of yours has gone to my head
I'm just a patsy like Patsy Cline
Never shot anyone from in front or behind
I've blood in my eye, got blood in my ear
I'm never gonna make it to the new frontier
Zapruder's film I seen night before
Seen it thirty-three times, maybe more
It's vile and deceitful, it's cruel and it's mean
Ugliest thing that you ever have seen
They killed him once and they killed him twice
Killed him like a human sacrifice
The day that they killed him, someone said to me, ""Son
The age of the Antichrist has just only begun""
Air Force One comin' in through the gate
Johnson sworn in at 2:38
Let me know when you decide to throw in the towel
It is what it is, and it's murder most foul

[Verse 4]
What's new, pussycat? What'd I say?
I said the soul of a nation been torn away
And it's beginning to go into a slow decay
And that it's thirty-six hours past Judgment Day
Wolfman Jack, he's speaking in tongues
He's going on and on at the top of his lungs
Play me a song, Mr. Wolfman Jack
Play it for me in my long Cadillac
Play me that ""Only the Good Die Young""
Take me to the place Tom Dooley was hung
Play ""St. James Infirmary"" and the Court of King James
If you want to remember, you better write down the names
Play Etta James, too, play ""I'd Rather Go Blind""
Play it for the man with the telepathic mind
Play John Lee Hooker, play ""Scratch My Back""
Play it for that strip club owner named Jack
Guitar Slim going down slow
Play it for me and for Marilyn Monroe

[Verse 5]
Play ""Please Don't Let Me Be Misunderstood""
Play it for the First Lady, she ain't feeling any good
Play Don Henley, play Glenn Frey
Take it to the limit and let it go by
Play it for Carl Wilson, too
Looking far, far away down Gower Avenue
Play ""Tragedy"", play ""Twilight Time""
Take me back to Tulsa to the scene of the crime
Play another one and ""Another One Bites the Dust""
Play ""The Old Rugged Cross"" and ""In God We Trust""
Ride the pink horse down that long, lonesome road
Stand there and wait for his head to explode
Play ""Mystery Train"" for Mr. Mystery
The man who fell down dead like a rootless tree
Play it for the reverend, play it for the pastor
Play it for the dog that got no master
Play Oscar Peterson, play Stan Getz
Play ""Blue Sky,"" play Dickey Betts
Play Art Pepper, Thelonious Monk
Charlie Parker and all that junk
All that junk and ""All That Jazz""
Play something for the Birdman of Alcatraz
Play Buster Keaton, play Harold Lloyd
Play Bugsy Siegel, play Pretty Boy Floyd
Play the numbers, play the odds
Play ""Cry Me a River"" for the Lord of the gods
Play Number nine, play Number six
Play it for Lindsey and Stevie Nicks
Play Nat King Cole, play ""Nature Boy""
Play ""Down in the Boondocks"" for Terry Malloy
Play ""It Happened One Night"" and ""One Night of Sin""
There's twelve million souls that are listening in
Play ""Merchant of Venice"", play ""Merchants of Death""
Play ""Stella by Starlight"" for Lady Macbeth
Don't worry, Mr. President, help's on the way
Your brothers are comin', there'll be hell to pay
Brothers? What brothers? What's this about hell?
Tell them, ""We're waiting, keep coming,"" we'll get them as well
Love Field is where his plane touched down
But it never did get back up off the ground
Was a hard act to follow, second to none
They killed him on the altar of the rising sun
Play ""Misty"" for me and ""That Old Devil Moon""
Play ""Anything Goes"" and ""Memphis in June""
Play ""Lonely at the Top"" and ""Lonely Are the Brave""
Play it for Houdini spinning around in his grave
Play Jelly Roll Morton, play ""Lucille""
Play ""Deep in a Dream"", and play ""Driving Wheel""
Play ""Moonlight Sonata"" in F-sharp
And ""A Key to the Highway"" for the king on the harp
Play ""Marching Through Georgia"" and ""Dumbarton's Drums""
Play ""Darkness"" and death will come when it comes
Play ""Love Me or Leave Me"" by the great Bud Powell
Play ""The Blood-Stained Banner"", play ""Murder Most Foul"""
1,Bob Dylan,Blowin’ in the Wind,"[Verse 1]
How many roads must a man walk down
Before you call him a man?
How many seas must a white dove sail
Before she sleeps in the sand?
Yes, and how many times must the cannonballs fly
Before they're forever banned?

[Refrain]
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind

[Verse 2]
Yes, and how many years can a mountain exist
Before it is washed to the sea?
Yes, and how many years can some people exist
Before they're allowed to be free?
Yes, and how many times can a man turn his head
And pretend that he just doesn't see?

[Refrain]
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind

[Verse 3]
Yes, and how many times must a man look up
Before he can really see the sky?
Yes, and how many ears must one man have
Before he can hear people cry?
Yes, and how many deaths will it take 'til he knows
That too many people have died?

[Refrain]
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind"
2,Bob Dylan,All Along the Watchtower,"[Verse 1]
""There must be some way out of here""
Said the joker to the thief
""There's too much confusion
I can't get no relief
Businessmen, they drink my wine
Plowmen dig my earth
None of them along the line
Know what any of it is worth""

[Verse 2]
""No reason to get excited""
The thief, he kindly spoke
""There are many here among us
Who feel that life is but a joke
But you and I, we've been through that
And this is not our fate
So let us not talk falsely now
The hour is getting late""

[Verse 3]
All along the watchtower
Princes kept the view
While all the women came and went
Barefoot servants too
Outside, in the distance
A wildcat did growl
Two riders were approaching
The wind began to howl"
3,Bob Dylan,The Times They Are A-Changin’,"Come gather 'round people, wherever you roam
And admit that the waters around you have grown
And accept it that soon you’ll be drenched to the bone
If your time to you is worth saving
Then you better start swimmin' or you’ll sink like a stone
For the times they are a-changin'

Come writers and critics, who prophesize with your pen
And keep your eyes wide, the chance won’t come again
And don’t speak too soon
For the wheel’s still in spin
And there’s no tellin' who that it’s namin'
For the loser now will be later to win
For the times they are a-changin'

Come senators, congressmen, please heed the call
Don’t stand in the doorway, don’t block up the hall
For he that gets hurt will be he who has stalled
The battle outside ragin'
Will soon shake your windows and rattle your walls
For the times they are a-changin'

Come mothers and fathers throughout the land
And don’t criticize what you can’t understand
Your sons and your daughters are beyond your command
Your old road is rapidly aging
Please get outta' the new one if you can’t lend your hand
For the times they are a-changin'

The line it is drawn, the curse it is cast
The slow one now will later be fast
As the present now will later be past
The order is rapidly fading
And the first one now will later be last
For the times they are a-changin'"
4,Bob Dylan,Make You Feel My Love,"[Verse 1]
When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

[Verse 2]
When the evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love

[Bridge 1]
I know you haven’t made your mind up yet
But I would never do you wrong
I’ve known it from the moment that we met
No doubt in my mind where you belong

[Verse 3]
I’d go hungry, I’d go black and blue
I’d go crawling down the avenue
There’s nothing that I wouldn’t do
To make you feel my love

[Bridge 2]
The storms are raging on the rolling sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me yet

[Verse 4]
I could make you happy, make your dreams come true
Nothing that I wouldn’t do
Go to the ends of the earth for you
To make you feel my love"
5,Bob Dylan,Like a Rolling Stone,"[Verse 1]
Once upon a time you dressed so fine
Threw the bums a dime in your prime, didn't you?
People call, say ""Beware doll, you're bound to fall""
You thought they were all a-kiddin' you
You used to laugh about
Everybody that was hangin' out
Now you don't talk so loud
Now you don't seem so proud
About having to be scrounging your next meal

[Chorus 1]
How does it feel?
How does it feel?
To be without a home?
Like a complete unknown?
Like a rolling stone?

[Verse 2]
Aw, you've gone to the finest school all right, Miss Lonely
But ya know ya only used to get juiced in it
Nobody's ever taught ya how to live out on the street
And now you’re gonna have to get used to it
You say you never compromise
With the mystery tramp, but now you realize
He's not selling any alibis
As you stare into the vacuum of his eyes
And say, “Do you want to make a deal?""

[Chorus 2]
How does it feel?
How does it feel?
To be on your own
With no direction home
A complete unknown
Like a rolling stone?

[Verse 3]
Aw, you never turned around to see the frowns
On the jugglers and the clowns when they all did tricks for you
Never understood that it ain't no good
You shouldn't let other people get your kicks for you
You used to ride on a chrome horse with your diplomat
Who carried on his shoulder a Siamese cat
Ain't it hard when you discover that
He really wasn't where it's at
After he took from you everything he could steal?

[Chorus 3]
How does it feel?
How does it feel?
To hang on your own
With no direction home
Like a complete unknown
Like a rolling stone?

[Verse 4]
Aw, princess on the steeple and all the pretty people
They're all drinkin', thinkin' that they got it made
Exchangin' all precious gifts
But you'd better take your diamond ring, ya better pawn it, babe
You used to be so amused
At Napoleon in rags and the language that he used
Go to him now, he calls ya, ya can't refuse
When ya ain't got nothin', you got nothin' to lose
You're invisible now, ya got no secrets to conceal

[Chorus 2]
How does it feel?
Aw, how does it feel?
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone?"
6,Bob Dylan,Hurricane,"[Verse 1]
Pistol shots ring out in the barroom night
Enter Patty Valentine from the upper hall
She sees the bartender in a pool of blood
Cries out, “My God, they killed them all!”
Here comes the story of the Hurricane
The man the authorities came to blame
For something that he never done
Put in a prison cell, but one time he could-a been
The champion of the world

[Verse 2]
Three bodies lying there does Patty see
And another man named Bello, moving around mysteriously
“I didn’t do it,” he says, and he throws up his hands
“I was only robbing the register, I hope you understand
I saw them leaving,” he says, and he stops
“One of us had better call up the cops”
And so Patty calls the cops
And they arrive on the scene with their red lights flashing
In the hot New Jersey night

[Verse 3]
Meanwhile, far away in another part of town
Rubin Carter and a couple of friends are driving around
Number one contender for the middleweight crown
Had no idea what kinda shit was about to go down
When a cop pulled him over to the side of the road
Just like the time before and the time before that
In Paterson that’s just the way things go
If you’re black you might as well not show up on the street
Unless you want to draw the heat

[Verse 4]
Alfred Bello had a partner and he had a rap for the cops
Him and Arthur Dexter Bradley were just out prowling around
He said, “I saw two men running out, they looked like middleweights
They jumped into a white car with out-of-state plates”
And Miss Patty Valentine just nodded her head
Cop said, “Wait a minute, boys, this one’s not dead”
So they took him to the infirmary
And though this man could hardly see
They told him that he could identify the guilty men

[Verse 5]
Four in the morning and they haul Rubin in
Take him to the hospital and they bring him upstairs
The wounded man looks up through his one dying eye
Says, “Why did you bring him in here for? He ain't the guy!”
Yes, here’s the story of the Hurricane
The man the authorities came to blame
For something that he never done
Put in a prison cell, but one time he could-a been
The champion of the world

[Verse 6]
Four months later, the ghettos are in flame
Rubin’s in South America, fighting for his name
While Arthur Dexter Bradley’s still in the robbery game
And the cops are putting the screws to him, looking for somebody to blame
“Remember that murder that happened in a bar?”
“Remember you said you saw the getaway car?”
“You think you’d like to play ball with the law?”
“Think it might-a been that fighter that you saw running that night?”
“Don’t forget that you are white”

[Verse 7]
Arthur Dexter Bradley said, “I’m really not sure”
Cops said, “A poor boy like you could use a break
We got you for the motel job and we’re talking to your friend Bello
Now you don’t want to have to go back to jail, be a nice fellow
You’ll be doing society a favor
That sonofabitch is brave and getting braver
We want to put his ass in stir
We want to pin this triple murder on him
He ain’t no Gentleman Jim”

[Verse 8]
Rubin could take a man out with just one punch
But he never did like to talk about it all that much
""It’s my work,"" he’d say, ""and I do it for pay
And when it’s over I’d just as soon go on my way""
Up to some paradise
Where the trout streams flow and the air is nice
And ride a horse along a trail
But then they took him to the jailhouse
Where they try to turn a man into a mouse

[Verse 9]
All of Rubin’s cards were marked in advance
The trial was a pig-circus, he never had a chance
The judge made Rubin’s witnesses drunkards from the slums
To the white folks who watched he was a revolutionary bum
And to the black folks he was just a crazy nigger
No one doubted that he pulled the trigger
And though they could not produce the gun
The D.A. said he was the one who did the deed
And the all-white jury agreed

[Verse 10]
Rubin Carter was falsely tried
The crime was murder “one,” guess who testified?
Bello and Bradley and they both baldly lied
And the newspapers, they all went along for the ride
How can the life of such a man
Be in the palm of some fool’s hand?
To see him obviously framed
Couldn’t help but make me feel ashamed to live in a land
Where justice is a game

[Verse 11]
Now all the criminals in their coats and their ties
Are free to drink martinis and watch the sun rise
While Rubin sits like Buddha in a ten-foot cell
An innocent man in a living hell
That’s the story of the Hurricane
But it won’t be over till they clear his name
And give him back the time he’s done
Put in a prison cell, but one time he could-a been
The champion of the world"
7,Bob Dylan,"Don’t Think Twice, It’s All Right","[Verse 1]
Well it ain't no use to sit and wonder why, babe
If'n you don't know by now
And it ain't no use to sit and wonder why, babe
It'll never do somehow
When your rooster crows at the break of dawn
Look out your window and I’ll be gone
You’re the reason I’m a-traveling on
But don’t think twice, it’s all right

[Verse 2]
And it ain't no use in turning on your light, babe
The light I never knowed
And it ain't no use in turning on your light, babe
I’m on the dark side of the road
But I wish there was something you would do or say
To try and make me change my mind and stay
But we never did too much talking anyway
But don’t think twice, it’s all right

[Verse 3]
So it ain't no use in calling out my name, gal
Like you never done before
And it ain't no use in calling out my name, gal
I can’t hear you anymore
I’m a-thinking and a-wondering, walking down the road
I once loved a woman, a child I’m told
I gave her my heart but she wanted my soul
But don’t think twice, it’s all right

[Verse 4]
So long, honey babe
Where I’m bound, I can’t tell
Goodbye's too good a word, babe
So I’ll just say fare thee well
I ain't a-saying you treated me unkind
You could've done better, but I don’t mind
You just kinda wasted my precious time
But don’t think twice, it’s all right"
8,Bob Dylan,Mr. Tambourine Man,"[Chorus]
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you

[Verse 1]
Though I know that evening's empire has returned into sand
Vanished from my hand
Left me blindly here to stand, but still not sleeping
My weariness amazes me, I am branded on my feet
I have no one to meet
And my ancient empty street's too dead for dreaming

[Chorus]
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you

[Verse 2]
Take me on a trip upon your magic swirlin' ship
My senses have been stripped, my hands can't feel to grip
My toes too numb to step, wait only for my boot heels
To be wandering
I'm ready to go anywhere, I'm ready for to fade
Into my own parade, cast your dancin' spell my way
I promise to go under it

[Chorus]
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you

[Verse 3]
Though you might hear laughing, spinning, swinging madly across the sun
It's not aimed at anyone, it's just escaping on the run
And but for the sky there are no fences facing
And if you hear vague traces of skipping reels of rhyme
To your tambourine in time, it's just a ragged clown behind
I wouldn't pay it any mind
It's just a shadow you're seeing that he's chasing

[Chorus]
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you

[Verse 4]
And take me disappearing through the smoke rings of my mind
Down the foggy ruins of time, far past the frozen leaves
The haunted, frightened trees, out to the windy beach
Far from the twisted reach of crazy sorrow
Yes, to dance beneath the diamond sky with one hand waving free
Silhouetted by the sea, circled by the circus sands
With all memory and fate driven deep beneath the waves
Let me forget about today until tomorrow

[Chorus]
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you"
9,Bob Dylan,Subterranean Homesick Blues,"[Verse 1]
Johnny's in the basement, mixin' up the medicine
I'm on the pavement, thinkin' about the government
The man in the trench coat, badge out, laid off
Says he's got a bad cough, wants to get it paid off
Look out kid, it's somethin' you did
God knows when, but you're doin' it again
You better duck down the alleyway, looking for a new friend
The man in the coon-skin cap in a pig pen
Wants 11 dollar bills – you only got 10

[Verse 2]
Maggie comes fleet foot, face full of black soot
Talkin' that the heat put plants in the bed, but
Phone's tapped anyway
Maggie says the many say
They must bust in early May, orders from the D.A.""
Look out kid, don't matter what you did
Walk on your tip toes, don’t tie no bows
Better stay away from those that carry around a fire hose
Keep a clean nose, watch the plainclothes
You don't need a weather man to know which way the wind blows

[Verse 3]
Oh, get sick, get well, hang around a ink well
Hang bail, hard to tell if anything is gonna sell
Try hard, get barred, get back, ride rail
Get jailed, jump bail, join the Army if you fail
Look out kid, you're gonna get hit
By losers, cheaters, six-time users
Hanging 'round the theaters
Girl by the whirlpool's looking for a new fool
Don't follow leaders, a-watch the parking meters

[Verse 4]
Oh, get born, keep warm
Short pants, romance
Learn to dance, get dressed
Get blessed, try to be a success
Please her, please him, buy gifts
Don't steal, don't lift
20 years of schoolin' and they put you on the day shift
Look out kid, they keep it all hid
Better jump down a manhole, light yourself a candle
Don't wear sandals, try to avoid the scandals
Don't want to be a bum, you better chew gum
The pump don't work 'cause the vandals took the handles"
